Name,Ticker,Sector,Industry,Country
GENERAL DYNAMICS CORP,GD,Industrials,Aerospace & Defense,United States
CSX CORP,CSX,Industrials,Railroads,United States
BLACKSTONE INC,BX,Financial Services,Asset Management,United States
JOHNSON CONTROLS INTERNATION,JCI,Industrials,Building Products & Equipment,Ireland
FREEPORT MCMORAN INC,FCX,Basic Materials,Copper,United States
DATADOG INC   CLASS A,DDOG,Technology,Software - Application,United States
ADOBE INC,ADBE,Technology,Software - Application,United States
CME GROUP INC,CME,Financial Services,Financial Data & Stock Exchanges,United States
ROBINHOOD MARKETS INC   A,HOOD,Financial Services,Capital Markets,United States
MARSH + MCLENNAN COS,MRSH,Financial Services,Insurance Brokers,United States
WASTE MANAGEMENT INC,WM,Industrials,Waste Management,United States
SYNOPSYS INC,SNPS,Technology,Software - Infrastructure,United States
3M CO,MMM,Industrials,Conglomerates,United States
COMCAST CORP CLASS A,CMCSA,Communication Services,Telecom Services,United States
UNITED PARCEL SERVICE CL B,UPS,Industrials,Integrated Freight & Logistics,United States
T MOBILE US INC,TMUS,Communication Services,Telecom Services,United States
ACCENTURE PLC CL A,ACN,Technology,Information Technology Services,Ireland
SHERWIN WILLIAMS CO/THE,SHW,Basic Materials,Specialty Chemicals,United States
MARRIOTT INTERNATIONAL  CL A,MAR,Consumer Cyclical,Lodging,United States
VALERO ENERGY CORP,VLO,Energy,Oil & Gas Refining & Marketing,United States
ROYAL CARIBBEAN CRUISES LTD,RCL,Consumer Cyclical,Travel Services,United States
EMERSON ELECTRIC CO,EMR,Industrials,Specialty Industrial Machinery,United States
MONDELEZ INTERNATIONAL INC A,MDLZ,Consumer Defensive,Confectioners,United States
MARATHON PETROLEUM CORP,MPC,Energy,Oil & Gas Refining & Marketing,United States
COLGATE PALMOLIVE CO,CL,Consumer Defensive,Household & Personal Products,United States
HILTON WORLDWIDE HOLDINGS IN,HLT,Consumer Cyclical,Lodging,United States
O REILLY AUTOMOTIVE INC,ORLY,Consumer Cyclical,Auto Parts,United States
AMERICAN TOWER CORP,AMT,Real Estate,REIT - Specialty,United States
INTUIT INC,INTU,Technology,Software - Application,United States
CONSTELLATION ENERGY,CEG,Utilities,Utilities - Independent Power Producers,United States
THE CIGNA GROUP,CI,Healthcare,Healthcare Plans,United States
ILLINOIS TOOL WORKS,ITW,Industrials,Specialty Industrial Machinery,United States
MOODY S CORP,MCO,Financial Services,Financial Data & Stock Exchanges,United States
AON PLC CLASS A,AON,Financial Services,Insurance Brokers,Ireland
TRANSDIGM GROUP INC,TDG,Industrials,Aerospace & Defense,United States
HONEYWELL AEROSPACE INC,HONA,Industrials,Aerospace & Defense,United States
AMERICAN ELECTRIC POWER,AEP,Utilities,Utilities - Regulated Electric,United States
ECOLAB INC,ECL,Basic Materials,Specialty Chemicals,United States
HONEYWELL INTERNATIONAL INC,HON,Industrials,Conglomerates,United States
INTERCONTINENTAL EXCHANGE IN,ICE,Financial Services,Financial Data & Stock Exchanges,United States
DOORDASH INC   A,DASH,Consumer Cyclical,Internet Retail,United States
NORFOLK SOUTHERN CORP,NSC,Industrials,Railroads,United States
AIR PRODUCTS + CHEMICALS INC,APD,Basic Materials,Specialty Chemicals,United States
CRH PLC,CRH,Basic Materials,Building Materials,United States
COHERENT CORP,COHR,Technology,Scientific & Technical Instruments,United States
GENERAL MOTORS CO,GM,Consumer Cyclical,Auto Manufacturers,United States
NXP SEMICONDUCTORS NV,NXPI,Technology,Semiconductors,Netherlands
PHILLIPS 66,PSX,Energy,Oil & Gas Refining & Marketing,United States
TRAVELERS COS INC/THE,TRV,Financial Services,Insurance - Property & Casualty,United States
MOTOROLA SOLUTIONS INC,MSI,Technology,Communication Equipment,United States
SIMON PROPERTY GROUP INC,SPG,Real Estate,REIT - Retail,United States
EOG RESOURCES INC,EOG,Energy,Oil & Gas E&P,United States
TERADYNE INC,TER,Technology,Semiconductor Equipment & Materials,United States
MONSTER BEVERAGE CORP,MNST,Consumer Defensive,Beverages - Non-Alcoholic,United States
NORTHROP GRUMMAN CORP,NOC,Industrials,Aerospace & Defense,United States
UNITED RENTALS INC,URI,Industrials,Rental & Leasing Services,United States
ROSS STORES INC,ROST,Consumer Cyclical,Apparel Retail,United States
FEDEX CORP,FDX,Industrials,Integrated Freight & Logistics,United States
WARNER BROS DISCOVERY INC,WBD,Communication Services,Entertainment,United States
SLB LTD,SLB,Energy,Oil & Gas Equipment & Services,United States
MONOLITHIC POWER SYSTEMS INC,MPWR,Technology,Semiconductors,United States
BOSTON SCIENTIFIC CORP,BSX,Healthcare,Medical Devices,United States
TRUIST FINANCIAL CORP,TFC,Financial Services,Banks - Regional,United States
PACCAR INC,PCAR,Industrials,Farm & Heavy Construction Machinery,United States
COMFORT SYSTEMS USA INC,FIX,Industrials,Engineering & Construction,United States
KKR + CO INC,KKR,Financial Services,Asset Management,United States
KINDER MORGAN INC,KMI,Energy,Oil & Gas Midstream,United States
CIENA CORP,CIEN,Technology,Communication Equipment,United States
